process_id,arrival_time,cpu_usage,memory_usage,io_operations,process_type,priority,burst_time
P1,0,71,370,8,1,1,6.9
P2,1,43,230,6,1,2,4.2
P3,2,49,485,5,1,2,2.91
P4,3,68,574,10,3,2,11.6
P5,4,81,786,3,3,1,15.51
P6,5,40,266,2,1,2,5.26
P7,6,28,445,5,2,3,7.45
P8,7,27,134,1,2,2,8.34
P9,8,25,665,10,2,1,5.93
P10,9,81,395,5,1,2,9.83
P11,10,72,316,9,1,3,3.87
P12,11,27,571,3,1,3,3.8
P13,12,54,388,5,2,3,9.33
P14,13,31,132,7,3,2,5.82
P15,14,56,198,8,2,3,3.32
P16,15,66,561,3,1,1,11.31
P17,16,33,492,10,2,1,4.99
P18,17,71,195,4,2,1,9.3
P19,18,42,330,4,1,3,4.54
P20,19,85,781,9,1,2,9.55
P21,20,47,127,4,2,2,8.79
P22,21,81,324,1,1,3,11.08
P23,22,81,732,4,1,1,10.35
P24,23,46,748,5,1,3,7.08
P25,24,63,763,6,1,1,9.19
P26,25,31,609,7,2,3,6.3
P27,26,75,180,1,2,2,10.34
P28,27,20,502,2,1,2,5.08
P29,28,51,515,7,3,3,7.39
P30,29,57,379,5,2,2,7.59
P31,30,30,610,1,1,3,9.71
P32,31,38,445,3,3,3,10.64
P33,32,39,588,1,3,2,11.66
P34,33,76,572,2,3,3,15.55
P35,34,61,710,7,2,1,7.28
P36,35,20,403,5,1,3,3.69
P37,36,28,332,3,3,3,7.33
P38,37,52,727,1,2,2,13.03
P39,38,44,437,2,2,3,7.0
P40,39,52,679,1,2,1,12.18
P41,40,67,603,8,3,3,12.25
P42,41,78,569,7,2,2,13.69
P43,42,49,137,6,1,3,5.1
P44,43,40,708,1,1,1,9.88
P45,44,67,758,4,3,1,10.72
P46,45,25,198,9,1,1,2.0
P47,46,65,280,3,1,3,6.78
P48,47,52,355,3,2,1,7.88
P49,48,73,669,3,2,2,12.53
P50,49,21,203,1,1,3,2.5
P51,50,67,138,10,3,2,8.35
P52,51,32,605,7,1,1,5.31
P53,52,39,420,8,2,2,5.33
P54,53,85,150,9,2,3,9.79
P55,54,81,224,6,2,2,9.11
P56,55,79,712,1,1,1,14.19
P57,56,87,449,3,3,1,14.08
P58,57,38,703,10,3,2,7.09
P59,58,81,226,9,1,1,6.63
P60,59,53,195,6,1,1,4.9
P61,60,20,371,7,3,1,3.56
P62,61,45,755,3,1,2,11.34
P63,62,76,384,5,3,1,13.07
P64,63,52,353,5,3,2,10.36
P65,64,29,199,2,3,2,7.68
P66,65,20,424,4,3,2,10.54
P67,66,51,574,4,2,3,8.45
P68,67,70,526,5,3,1,15.3
P69,68,52,267,10,3,1,6.31
P70,69,27,704,10,2,2,5.53
P71,70,53,214,9,3,2,8.7
P72,71,48,475,4,1,1,9.25
P73,72,55,493,5,1,3,7.43
P74,73,43,762,5,1,3,7.79
P75,74,32,378,9,3,1,6.94
P76,75,32,798,3,1,1,4.11
P77,76,38,175,9,3,2,5.27
P78,77,35,168,3,1,3,7.68
P79,78,72,250,9,3,1,9.84
P80,79,37,687,9,2,2,9.05
P81,80,36,352,6,3,2,6.81
P82,81,69,733,2,1,1,11.57
P83,82,56,521,3,1,1,8.03
P84,83,90,316,4,2,3,12.67
P85,84,38,544,6,3,3,7.43
P86,85,86,272,2,2,2,10.4
P87,86,39,575,8,1,3,6.98
P88,87,81,604,1,1,1,13.38
P89,88,57,216,6,2,1,7.48
P90,89,55,326,3,1,2,8.91
P91,90,66,332,1,2,3,14.09
P92,91,22,755,7,1,3,3.52
P93,92,31,429,8,2,1,3.79
P94,93,27,797,2,1,1,6.49
P95,94,83,601,1,1,1,15.0
P96,95,48,657,3,1,2,6.15
P97,96,88,549,10,2,2,8.7
P98,97,52,473,1,2,3,10.45
P99,98,68,381,9,2,3,8.52
P100,99,20,504,7,2,1,5.14
P101,100,88,744,6,3,1,17.01
P102,101,36,184,9,2,1,4.82
P103,102,70,784,4,2,1,13.91
P104,103,58,253,10,2,2,8.38
P105,104,22,405,1,2,1,5.98
P106,105,42,306,5,1,2,9.04
P107,106,85,174,3,3,2,12.97
P108,107,69,197,2,2,3,10.16
P109,108,70,546,2,1,2,11.73
P110,109,49,205,3,1,1,6.07
P111,110,48,237,8,1,2,4.48
P112,111,85,304,3,3,1,12.6
P113,112,42,282,6,1,3,4.78
P114,113,51,160,10,3,3,8.01
P115,114,40,104,2,2,1,6.8
P116,115,24,332,10,2,2,2.33
P117,116,68,177,10,1,3,4.14
P118,117,82,147,1,2,1,11.86
P119,118,27,724,3,1,3,7.82
P120,119,33,573,7,2,2,6.47
P121,120,45,625,8,3,3,10.23
P122,121,37,605,6,3,3,9.53
P123,122,34,291,9,3,1,6.14
P124,123,36,330,6,2,2,3.91
P125,124,63,636,1,1,1,12.16
P126,125,37,210,4,3,2,8.63
P127,126,53,722,8,1,3,4.93
P128,127,71,381,2,3,3,11.0
P129,128,89,476,1,1,2,11.45
P130,129,23,449,8,3,1,3.96
P131,130,22,342,8,1,3,2.47
P132,131,23,745,6,1,2,6.49
P133,132,70,673,9,2,3,7.15
P134,133,64,399,5,2,2,13.32
P135,134,87,324,4,1,3,11.7
P136,135,57,238,4,1,3,7.94
P137,136,22,772,6,2,2,9.66
P138,137,21,112,8,2,1,5.44
P139,138,82,712,9,1,1,8.57
P140,139,54,705,1,1,2,13.68
P141,140,79,335,2,2,1,12.03
P142,141,54,612,8,2,1,8.39
P143,142,30,328,3,1,1,5.76
P144,143,45,673,4,1,1,9.32
P145,144,61,188,2,3,2,11.12
P146,145,42,674,1,1,1,9.88
P147,146,85,715,8,3,3,11.16
P148,147,83,599,1,2,3,15.61
P149,148,46,519,6,1,1,7.75
P150,149,52,353,4,2,2,9.45
P151,150,29,616,10,1,2,5.41
P152,151,24,256,4,1,2,2.91
P153,152,46,194,3,3,2,7.71
P154,153,30,353,10,2,2,2.0
P155,154,42,445,10,1,2,3.52
P156,155,79,782,4,1,1,11.05
P157,156,50,477,9,2,3,7.06
P158,157,30,506,1,2,1,8.28
P159,158,40,445,4,2,3,11.43
P160,159,40,530,9,1,1,5.34
P161,160,71,412,5,2,1,9.84
P162,161,57,485,7,2,3,6.9
P163,162,53,446,1,3,3,9.94
P164,163,43,124,7,2,1,4.9
P165,164,52,276,6,2,2,5.65
P166,165,68,247,6,2,3,9.41
P167,166,80,459,1,3,1,13.09
P168,167,70,417,1,1,1,7.77
P169,168,49,243,8,3,2,8.97
P170,169,85,601,1,2,2,12.6
P171,170,57,743,1,1,3,10.29
P172,171,53,479,1,3,3,12.59
P173,172,51,277,7,1,1,2.75
P174,173,78,427,6,1,3,9.55
P175,174,86,150,1,3,2,15.32
P176,175,35,551,4,1,2,6.79
P177,176,33,106,10,3,1,4.82
P178,177,79,181,2,1,3,7.63
P179,178,88,622,10,3,2,11.92
P180,179,39,360,5,2,2,6.55
P181,180,28,325,5,3,2,6.11
P182,181,49,731,7,1,2,7.85
P183,182,33,620,8,2,1,4.16
P184,183,41,334,4,2,2,6.47
P185,184,48,208,2,3,1,9.83
P186,185,57,133,1,1,1,6.0
P187,186,46,386,6,3,2,11.13
P188,187,90,784,1,2,1,17.04
P189,188,81,733,2,2,3,13.63
P190,189,55,212,7,3,2,10.07
P191,190,74,722,8,2,2,9.52
P192,191,55,247,3,3,3,11.09
P193,192,81,606,2,1,2,8.65
P194,193,59,116,1,1,1,7.05
P195,194,62,715,10,1,3,8.75
P196,195,68,116,10,1,3,3.99
P197,196,66,111,8,3,3,9.29
P198,197,89,299,9,2,1,11.42
P199,198,31,754,10,1,1,3.9
P200,199,35,500,7,2,1,6.37
P201,200,26,434,5,3,1,6.98
P202,201,78,576,2,3,2,14.15
P203,202,58,501,10,3,1,6.89
P204,203,79,197,3,1,3,11.31
P205,204,59,282,7,3,3,9.27
P206,205,44,496,2,1,1,9.66
P207,206,61,207,2,3,3,10.96
P208,207,51,707,3,3,3,13.53
P209,208,65,128,1,1,2,11.69
P210,209,75,338,9,2,2,8.05
P211,210,44,458,4,1,1,5.96
P212,211,33,475,2,2,2,7.45
P213,212,56,764,1,1,2,9.09
P214,213,78,160,5,3,2,10.69
P215,214,58,539,8,3,2,8.11
P216,215,71,670,8,1,3,9.32
P217,216,73,342,10,3,2,8.89
P218,217,22,616,5,2,3,6.12
P219,218,68,620,3,2,1,11.14
P220,219,69,161,1,3,3,10.04
P221,220,32,219,9,1,2,2.0
P222,221,75,422,9,3,1,12.2
P223,222,61,620,8,1,1,6.14
P224,223,57,427,5,2,2,10.3
P225,224,89,136,5,1,1,10.44
P226,225,86,667,8,2,3,11.79
P227,226,52,361,8,3,1,7.91
P228,227,32,462,9,1,2,3.01
P229,228,82,766,6,3,1,13.57
P230,229,49,650,2,2,2,9.1
P231,230,31,394,2,1,2,6.75
P232,231,79,547,8,1,3,6.1
P233,232,89,566,7,2,1,11.79
P234,233,79,434,5,1,2,9.99
P235,234,87,583,2,3,1,16.44
P236,235,84,121,10,3,2,10.97
P237,236,69,369,4,3,3,9.09
P238,237,48,132,6,3,3,9.63
P239,238,51,558,10,3,2,8.22
P240,239,23,198,9,3,3,2.35
P241,240,48,256,4,2,3,9.16
P242,241,46,481,8,1,1,7.27
P243,242,66,183,6,3,1,6.84
P244,243,77,626,2,1,3,10.68
P245,244,83,623,2,3,3,15.63
P246,245,46,785,2,3,3,12.91
P247,246,83,792,8,2,3,11.82
P248,247,90,372,4,1,2,8.75
P249,248,67,600,5,2,3,13.64
P250,249,57,643,9,1,2,6.24
P251,250,60,491,6,3,1,10.55
P252,251,39,772,10,2,1,5.02
P253,252,21,324,1,1,1,2.74
P254,253,57,189,10,2,3,3.98
P255,254,63,404,8,3,1,12.34
P256,255,27,789,4,2,3,8.58
P257,256,26,558,4,2,2,6.64
P258,257,60,799,10,2,3,11.24
P259,258,31,186,9,1,3,2.0
P260,259,72,794,3,2,2,12.18
P261,260,37,761,5,1,3,5.31
P262,261,54,544,6,3,3,11.07
P263,262,26,431,1,2,1,8.75
P264,263,39,615,4,2,1,9.68
P265,264,70,707,9,2,1,12.29
P266,265,53,394,10,3,3,5.45
P267,266,77,345,3,1,2,11.79
P268,267,45,619,4,2,3,10.16
P269,268,61,625,2,3,1,12.89
P270,269,81,601,8,3,1,14.16
P271,270,21,244,9,1,2,3.8
P272,271,55,400,7,3,3,11.51
P273,272,30,109,3,2,2,4.46
P274,273,20,232,4,3,1,3.13
P275,274,76,675,6,1,3,11.35
P276,275,56,404,1,3,3,13.55
P277,276,25,719,4,2,2,7.57
P278,277,39,381,1,3,3,8.87
P279,278,89,584,5,3,1,14.61
P280,279,31,589,4,1,2,4.6
P281,280,62,225,2,1,2,8.13
P282,281,75,594,2,3,2,14.77
P283,282,42,483,4,2,2,6.92
