scheduler,threads,execution_time,speedup,efficiency,utilization,mean_prediction_error
FCFS,1,0.946,1.00,100.00,,
SJF,1,1.174,1.00,100.00,,
OpenMP SJF,1,1.300,1.00,100.00,,
OpenMP SJF,2,0.843,1.54,77.10,98.8137,
OpenMP SJF,4,0.559,2.33,58.13,97.2272,
OpenMP SJF,8,0.359,3.62,45.26,95.9610,
OpenMP SJF,12,0.323,4.02,33.54,94.9690,
AI + OpenMP,1,1.229,1.00,100.00,96.9894,1.1695
AI + OpenMP,2,0.748,1.64,82.15,95.9225,1.1695
AI + OpenMP,4,0.381,3.23,80.64,95.3180,1.1695
AI + OpenMP,8,0.340,3.61,45.10,82.9412,1.1695
AI + OpenMP,12,0.254,4.84,40.31,73.1596,1.1695
